developer,position,model
Alibaba,max,Qwen3.8 Max
Alibaba,open-weights-flagship,Qwen3.8 2.4T A95B
Anthropic,fable,Claude Fable 5 (with fallback)
Anthropic,opus,Claude Opus 5
Anthropic,sonnet,Claude Sonnet 5
Cohere,frontier,Command A+
DeepSeek,flash,DeepSeek V4 Flash 0731
DeepSeek,pro,DeepSeek V4 Pro 0813
Google,flash,Gemini 3.7 Flash
Google,flash-lite,Gemini 3.5 Flash-Lite
Google,pro,Gemini 3.1 Pro Preview
InclusionAI,frontier,Ring-2.6-1T
Kimi,flagship,Kimi K3
LG AI Research,flagship,K-EXAONE 2.0 0803
Meta,spark,Muse Spark 1.2
MiniMax,flagship,MiniMax-M3
Mistral,frontier,Mistral Medium 3.5
Multiverse Computing,frontier,HyperNova 60B 2605
NVIDIA,lightning,Nemotron 3.5 Lightning
NVIDIA,ultra,Nemotron 3 Ultra 550B A55B
OpenAI,luna,GPT-5.6 Luna
OpenAI,sol,GPT-5.6 Sol
OpenAI,terra,GPT-5.6 Terra
SpaceXAI,flagship,Grok 4.6
Upstage,pro,Solar Pro 4
Xiaomi,frontier,MiMo-V2.5-Pro
Z AI,flagship,GLM-5.2
