model,effort,effort_order,country_code,country_name,developer,release_date,is_historical,data_scope,intelligence_score,intelligence_score_raw,output_tokens_million,canonical_input_tokens,canonical_answer_tokens,canonical_reasoning_tokens,canonical_output_tokens,total_tokens_million,aa_raw_blended_usd_per_million_tokens,aa_raw_cost_per_index_task_usd,blended_usd_per_million_tokens,cost_per_index_task_usd,task_noncache_input_tokens,task_cache_read_tokens,task_cache_write_tokens,task_answer_tokens,task_reasoning_tokens,task_output_tokens,total_tokens_per_index_task,api_provider,api_provider_model_id,api_precision,api_original_match,api_input_usd_per_million,api_cache_read_usd_per_million,api_cache_write_usd_per_million,api_output_usd_per_million,api_price_scenario,api_price_valid_until,api_price_source_url,api_precision_source_url,api_price_confidence,api_selection_basis,api_price_note,source_url
Claude Fable 5 (with fallback),max,5,US,美国,Anthropic,2026-06-09,false,token_and_cost,62,62.072662201746,83.214803,819918794,10392208,72822595,83214803,903.133597,7.700000000000,3.139584292090,7.700000000000,3.139584292090,9130.960180,781063.834633,47426.131743,8525.298115,24962.386063,33487.684177,871108.610733,Anthropic,anthropic_claude-fable-5,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,10.000000000000,1.000000000000,12.500000000000,50.000000000000,current,,https://artificialanalysis.ai/models/claude-fable-5/providers,https://artificialanalysis.ai/models/claude-fable-5/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-fable-5
Claude Opus 4.8,max,5,US,美国,Anthropic,2026-05-28,false,token_and_cost,57,57.330415875843,116.719379,936047468,11686043,105033336,116719379,1052.766847,3.850000000000,2.031501563011,3.850000000000,2.013215495880,9105.505765,995033.796980,56477.407692,9653.583737,35033.907082,44687.490820,1105304.201256,Amazon,amazon_bedrock_claude-opus-4-8,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,5.000000000000,0.500000000000,6.250000000000,25.000000000000,current,,https://artificialanalysis.ai/models/claude-opus-4-8/providers,https://artificialanalysis.ai/models/claude-opus-4-8/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-opus-4-8
Claude Opus 5,low,1,US,美国,Anthropic,2026-07-24,false,token_and_cost,52,52.456913680845,12.071741,195277960,4216658,7855083,12071741,207.349701,3.850000000000,0.425160066838,3.850000000000,0.425160066838,9249.740711,218301.589834,16871.588174,3562.047659,3010.478032,6572.525691,250995.444411,Amazon,amazon_bedrock_claude-opus-5-low,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,5.000000000000,0.500000000000,6.250000000000,25.000000000000,current,,https://artificialanalysis.ai/models/claude-opus-5-low/providers,https://artificialanalysis.ai/models/claude-opus-5-low/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-opus-5-low
Claude Opus 5,medium,2,US,美国,Anthropic,2026-07-24,false,token_and_cost,59,58.635459743804,28.827204,382615383,7012557,21814647,28827204,411.442587,3.850000000000,0.724278439548,3.850000000000,0.724278439548,9305.248791,406942.324357,26047.373609,5743.739204,6715.658731,12459.397934,454754.344692,Amazon,amazon_bedrock_claude-opus-5-medium,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,5.000000000000,0.500000000000,6.250000000000,25.000000000000,current,,https://artificialanalysis.ai/models/claude-opus-5-medium/providers,https://artificialanalysis.ai/models/claude-opus-5-medium/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-opus-5-medium
Claude Opus 5,high,3,US,美国,Anthropic,2026-07-24,false,token_and_cost,61,61.475119147346,52.071537,792021069,10765091,41306446,52071537,844.092606,3.850000000000,1.226761527936,3.850000000000,1.226761527936,9309.986639,801653.981046,39290.222543,8956.213414,12396.615118,21352.828533,871607.018761,Amazon,amazon_bedrock_claude-opus-5-high,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,5.000000000000,0.500000000000,6.250000000000,25.000000000000,current,,https://artificialanalysis.ai/models/claude-opus-5-high/providers,https://artificialanalysis.ai/models/claude-opus-5-high/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-opus-5-high
Claude Opus 5,xhigh,4,US,美国,Anthropic,2026-07-24,false,token_and_cost,63,62.520474298790,76.395802,1290711433,14126528,62269274,76395802,1367.107235,3.850000000000,1.801196674583,3.850000000000,1.801196674583,9342.225316,1279300.787159,53633.950735,12025.241915,19159.676579,31184.918493,1373461.881703,Amazon,amazon_bedrock_claude-opus-5-xhigh,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,5.000000000000,0.500000000000,6.250000000000,25.000000000000,current,,https://artificialanalysis.ai/models/claude-opus-5-xhigh/providers,https://artificialanalysis.ai/models/claude-opus-5-xhigh/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-opus-5-xhigh
Claude Opus 5,max,5,US,美国,Anthropic,2026-07-24,false,token_and_cost,63,63.053245207129,101.179533,1775990851,16969565,84209968,101179533,1877.170384,3.850000000000,2.336859208125,3.850000000000,2.336859208125,9359.263177,1747657.343380,65599.639737,14565.556155,25683.902732,40249.458888,1862865.705181,Amazon,amazon_bedrock_claude-opus-5,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,5.000000000000,0.500000000000,6.250000000000,25.000000000000,current,,https://artificialanalysis.ai/models/claude-opus-5/providers,https://artificialanalysis.ai/models/claude-opus-5/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-opus-5
Claude Sonnet 5,non-reasoning,0,US,美国,Anthropic,2026-06-30,false,token_and_cost,43,42.570797063965,13.899996,967377120,13899996,0,13899996,981.277116,1.540000000000,0.416946366533,1.540000000000,0.416946366533,6520.668256,1094074.607336,31232.942269,10700.775288,0.000000,10700.775288,1142528.993150,Anthropic,anthropic_claude-sonnet-5-non-reasoning,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,2.000000000000,0.200000000000,2.500000000000,10.000000000000,current,,https://artificialanalysis.ai/models/claude-sonnet-5-non-reasoning/providers,https://artificialanalysis.ai/models/claude-sonnet-5-non-reasoning/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-sonnet-5-non-reasoning
Claude Sonnet 5,max,5,US,美国,Anthropic,2026-06-30,false,token_and_cost,55,55.261211717405,303.597976,3524701850,16952547,286645429,303597976,3828.299826,1.540000000000,1.717266743264,1.540000000000,1.717266743264,9322.988292,3452041.684487,113917.203470,14517.928720,57824.013391,72341.942111,3647623.818360,Anthropic,anthropic_claude-sonnet-5,AA provider benchmark endpoint,aa_provider_endpoint_exact_model,2.000000000000,0.200000000000,2.500000000000,10.000000000000,current,,https://artificialanalysis.ai/models/claude-sonnet-5/providers,https://artificialanalysis.ai/models/claude-sonnet-5/providers,high,lowest positive AA weighted task cost among providers common to all reasoning levels of this model,AA provider-specific cost; zero-price routes excluded,https://artificialanalysis.ai/models/claude-sonnet-5
Command A+,default,2,CA,加拿大,Cohere,2026-05-20,false,token_only,23,22.770222570210,63.208985,391636387,7169401,56039584,63208985,454.845372,0.000000000000,0.000000000000,,,,,,,,,,,,,,,,,,current,,,,,,,https://artificialanalysis.ai/models/command-a-plus
