provider,model,effort,effort_order,country_code,country_name,developer,is_historical,intelligence_score,intelligence_score_raw,access_mode,quota_scenario,plan_name,plan_price_usd_per_month,quota_period,normalized_weekly_quota,quota_unit,model_quota_multiplier,weekly_cost_usd,weekly_api_equivalent_usd,api_value_ratio,api_cost_per_task_usd,total_tokens_per_index_task,tasks_per_week,effective_cost_per_task_usd,effective_usd_per_million_task_tokens,confidence,api_price_provider,api_provider_model_id,api_precision,api_price_source_url,benchmark_source_url,plan_source_url,quota_source_url
Anthropic,Claude Fable 5 (with fallback),max,5,US,美国,Anthropic,false,62,62.072662201746,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,170286065.295157,benchmark_equivalent_complete_tokens,estimated_api_value_13.3333x,46.029919447641,613.732259301880,13.333333333333,3.139584292090,871108.610733,195.482013605477,0.235468821907,0.270309372454,medium,Anthropic,claude-fable-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-fable-5,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Opus 4.8,max,5,US,美国,Anthropic,false,57,57.330415875843,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,667841814.157670,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,2.031501563011,1105304.201256,604.215394638666,0.076181308613,0.068923386454,medium,Anthropic,claude-opus-4-8,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-opus-4-8,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Opus 5,low,1,US,美国,Anthropic,false,52,52.456913680845,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,724640027.077323,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,0.425160066838,250995.444411,2887.064459587319,0.015943502506,0.063521083197,medium,Anthropic,claude-opus-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-opus-5-low,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Opus 5,medium,2,US,美国,Anthropic,false,59,58.635459743804,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,770690928.116935,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,0.724278439548,454754.344692,1694.741209430150,0.027160441483,0.059725523901,medium,Anthropic,claude-opus-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-opus-5-medium,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Opus 5,high,3,US,美国,Anthropic,false,61,61.475119147346,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,872106489.592281,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,1.226761527936,871607.018761,1000.573045903177,0.046003557298,0.052780159300,medium,Anthropic,claude-opus-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-opus-5-high,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Opus 5,xhigh,4,US,美国,Anthropic,false,63,62.520474298790,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,935975371.948478,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,1.801196674583,1373461.881703,681.471677093748,0.067544875297,0.049178558354,medium,Anthropic,claude-opus-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-opus-5-xhigh,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Opus 5,max,5,US,美国,Anthropic,false,63,63.053245207129,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,978493504.479512,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,2.336859208125,1862865.705181,525.262503764027,0.087632220305,0.047041619834,medium,Anthropic,claude-opus-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-opus-5,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Sonnet 5,non-reasoning,0,US,美国,Anthropic,false,43,42.570797063965,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,3363535248.499895,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,0.416946366533,1142528.993150,2943.938638464209,0.015635488745,0.013684982034,medium,Anthropic,claude-sonnet-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-sonnet-5-non-reasoning,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
Anthropic,Claude Sonnet 5,max,5,US,美国,Anthropic,false,55,55.261211717405,subscription_api_equivalent_estimate,post_promotion_standard,Claude Max 20x,200,weekly_api_equivalent_estimate,2607241322.184361,benchmark_equivalent_complete_tokens,estimated_api_value_26.6667x,46.029919447641,1227.464518603759,26.666666666667,1.717266743264,3647623.818360,714.778017694982,0.064397502872,0.017654644799,medium,Anthropic,claude-sonnet-5,first-party undisclosed,https://claude.com/pricing,https://artificialanalysis.ai/models/claude-sonnet-5,https://claude.com/pricing,https://www.anthropic.com/news/claude-opus-5
DeepInfra,DeepSeek V4 Flash 0731,max,5,CN,中国,DeepSeek,false,52,51.766577608903,api_no_first_party_subscription,current,None,,none,,,,,,,0.056678692934,1369243.252617,,0.056678692934,0.041394173625,high,DeepInfra,deepinfra_deepseek-v4-flash-0731,AA provider benchmark endpoint,https://artificialanalysis.ai/models/deepseek-v4-flash/providers,https://artificialanalysis.ai/models/deepseek-v4-flash,https://api-docs.deepseek.com/quick_start/pricing/,https://artificialanalysis.ai/models
DeepSeek,DeepSeek V4 Pro 0813,max,5,CN,中国,DeepSeek,false,53,53.197684929782,api_no_first_party_subscription,current,None,,none,,,,,,,0.056094160219,1007582.952337,,0.056094160219,0.055672002081,high,DeepSeek,deepseek_deepseek-v4-pro,official original endpoint,https://api-docs.deepseek.com/quick_start/pricing/,https://artificialanalysis.ai/models/deepseek-v4-pro,https://api-docs.deepseek.com/quick_start/pricing/,https://artificialanalysis.ai/models
Zhipu AI,GLM-5.2,max,5,CN,中国,Z AI,false,53,52.640956345739,subscription_reconstructed,current,Coding Plan Max,160,weekly,1770283582.089552,raw_tokens,0.67,36.823935558113,,,0.320553028828,521096.063278,3397.230773445935,0.010839397737,0.020801150692,medium,Z.AI,glm-5.2,first-party undisclosed,https://docs.z.ai/guides/overview/pricing,https://artificialanalysis.ai/models/glm-5-2,https://z.ai/subscribe,https://zcode.z.ai/en/docs/configuration
OpenAI,GPT-5.5,non-reasoning,0,US,美国,OpenAI,true,36,35.753759597589,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1283720831.305674,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.208315439941,82995.356357,15467.381401241521,0.002975934856,0.035856642913,medium,OpenAI,gpt-5.5,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-5-non-reasoning,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.5,low,1,US,美国,OpenAI,true,44,44.498112467672,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1222566856.790610,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.258866102218,98222.175215,12446.953593875463,0.003698087175,0.037650226809,medium,OpenAI,gpt-5.5,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-5-low,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.5,medium,2,US,美国,OpenAI,true,51,51.422251838980,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1221043692.148591,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.500168861325,189543.807425,6442.013108931253,0.007145269448,0.037697192773,medium,OpenAI,gpt-5.5,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-5-medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.5,high,3,US,美国,OpenAI,true,55,54.666808279366,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1181994922.291134,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.803310853982,294687.009115,4011.018082679942,0.011475869343,0.038942569532,medium,OpenAI,gpt-5.5,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-5-high,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.5,xhigh,4,US,美国,OpenAI,true,56,56.306685186036,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1177075036.521994,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,1.174706931589,429136.471295,2742.892099033086,0.016781527594,0.039105339948,medium,OpenAI,gpt-5.5,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-5,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.5 Instant (June 2026),instant,0,US,美国,OpenAI,false,29,29.232778634720,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,2451431931.854028,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.536439146829,408133.315341,6006.448970738467,0.007663416383,0.018776747928,medium,OpenAI,gpt-5.5-instant-06-26,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-5-instant-06-26,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Luna,non-reasoning,0,US,美国,OpenAI,false,27,26.844895222588,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,76134659545.911667,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.011731427324,277201.138495,274654.930925851630,0.000167591819,0.000604585608,medium,OpenAI,gpt-5.6-luna,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-luna-non-reasoning,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Luna,low,1,US,美国,OpenAI,false,34,33.854560525112,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,60231055932.083939,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.008794987675,164405.922102,366355.756301258109,0.000125642681,0.000764222356,medium,OpenAI,gpt-5.6-luna,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-luna-low,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Luna,medium,2,US,美国,OpenAI,false,39,38.905073339676,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,49965008361.628578,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.011269349861,174753.777168,285916.614629706019,0.000160990712,0.000921243105,medium,OpenAI,gpt-5.6-luna,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-luna-medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Luna,high,3,US,美国,OpenAI,false,47,46.960417047320,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,49730086682.970230,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.021586508695,333168.066543,149264.265327036876,0.000308378696,0.000925594997,medium,OpenAI,gpt-5.6-luna,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-luna-high,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Luna,xhigh,4,US,美国,OpenAI,false,50,50.058702742954,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,51827724506.234261,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.031637141410,508886.725615,101845.306425706818,0.000451959163,0.000888133135,medium,OpenAI,gpt-5.6-luna,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-luna-xhigh,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Luna,max,5,US,美国,OpenAI,false,52,52.318082784098,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,55063707067.142090,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.047127533600,805381.970214,68369.679361596558,0.000673250480,0.000835939349,medium,OpenAI,gpt-5.6-luna,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-luna,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Sol,non-reasoning,0,US,美国,OpenAI,false,42,41.877973060507,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1965781188.103599,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.236552999159,144319.620591,13621.025194312269,0.003379328559,0.023415586499,medium,OpenAI,gpt-5.6-sol,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-sol-non-reasoning,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Sol,low,1,US,美国,OpenAI,false,51,50.731518171370,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1659839010.057615,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.231100946990,119050.010353,13942.367624630686,0.003301442100,0.027731556596,medium,OpenAI,gpt-5.6-sol,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-sol-low,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Sol,medium,2,US,美国,OpenAI,false,56,55.572905171061,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,1924068503.005948,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.371670812437,221942.632183,8669.215481861462,0.005309583035,0.023923222783,medium,OpenAI,gpt-5.6-sol,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-sol-medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Sol,high,3,US,美国,OpenAI,false,57,57.331721096222,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,2199516890.247390,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.547730391485,373900.361774,5882.628408840278,0.007824719878,0.020927286193,medium,OpenAI,gpt-5.6-sol,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-sol-high,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Sol,xhigh,4,US,美国,OpenAI,false,59,59.009036370554,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,2286174440.881742,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.807181243353,572719.765708,3991.785473049908,0.011531160619,0.020134036417,medium,OpenAI,gpt-5.6-sol,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-sol-xhigh,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Sol,max,5,US,美国,OpenAI,false,61,60.929870132920,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,2658379140.948847,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,1.231211055877,1015806.932387,2617.012205953388,0.017588729370,0.017315031832,medium,OpenAI,gpt-5.6-sol,first-party undisclosed,https://learn.chatgpt.com/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-sol,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Terra,non-reasoning,0,US,美国,OpenAI,false,35,34.618867454602,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,6150198843.885098,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.102539087412,195722.317888,31423.084041976668,0.001464844106,0.007484297763,medium,OpenAI,gpt-5.6-terra,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-terra-non-reasoning,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Terra,low,1,US,美国,OpenAI,false,41,41.296123972937,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,5893371319.692571,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.093946669759,171833.145479,34297.057783958269,0.001342095282,0.007810456350,medium,OpenAI,gpt-5.6-terra,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-terra-low,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Terra,medium,2,US,美国,OpenAI,false,47,46.755895387927,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,4595877440.466491,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.119024052079,169771.550575,27070.951669468141,0.001700343601,0.010015480187,medium,OpenAI,gpt-5.6-terra,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-terra-medium,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Terra,high,3,US,美国,OpenAI,false,50,50.113135227340,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,4971221288.973511,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.218282012998,336777.284687,14761.153780290593,0.003118314471,0.009259277906,medium,OpenAI,gpt-5.6-terra,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-terra-high,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Terra,xhigh,4,US,美国,OpenAI,false,53,52.773245112807,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,5274699256.052875,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.305022291392,499333.872028,10563.471760147482,0.004357461306,0.008726548607,medium,OpenAI,gpt-5.6-terra,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-terra-xhigh,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
OpenAI,GPT-5.6 Terra,max,5,US,美国,OpenAI,false,57,56.575567589021,subscription_api_equivalent_estimate,current_estimate,ChatGPT Pro 20x,200,weekly_api_equivalent_estimate,5545820937.437584,benchmark_equivalent_complete_tokens,estimated_api_value_70x,46.029919447641,3222.094361334868,70.000000000000,0.508018891130,874394.566730,6342.469576609401,0.007257412730,0.008299928895,medium,OpenAI,gpt-5.6-terra,first-party undisclosed,https://developers.openai.com/api/docs/pricing,https://artificialanalysis.ai/models/gpt-5-6-terra,https://learn.chatgpt.com/docs/pricing,https://www.tomshardware.com/tech-industry/artificial-intelligence/ai-costs-spike-as-subscriptions-hit-pricing-wall-firms-turn-towards-chinese-llms-open-source-models-to-extend-budget
