source_rank,result_id,agent,agent_creator,model,model_creator,series,effort,source_effort,effort_order,source_display_model,source_display_label,route_provider,host_model_slug,variant_of_result_id,benchmark_version,index_component_count,eval_count,data_scope,coding_agent_score,recomputed_component_mean,score_delta,deep_swe_score,terminal_bench_v2_score,swe_atlas_qna_score,cost_usd_per_task,agent_wall_time_sec,steps_per_task,input_tokens,cache_write_tokens,cache_read_tokens,cache_hit_rate,output_tokens,total_tokens,total_tokens_million,source_url,methodology_url,observed_at_utc,source_sha256
1,0ed87f4672c6820504f9402f198df0a6,Codex,OpenAI,GPT-5.6 Sol,OpenAI,Codex · GPT-5.6 Sol,max,max,100,GPT-5.6 Sol (max),Codex - GPT-5.6 Sol (max),openai,openai_kindle-alpha-api,,Coding Agent Index v1.3,3,3,complete,66.5698486709049,66.56984867090489,1.1102230246251565e-14,68.7315634218289,87.6984126984127,43.279569892473106,7.0835100321910645,610.0822637590861,114.16303219106958,6812389.687435098,,6360942.587746625,0.8985307396207002,54860.107995846316,13228192.3831776,13.228192383177602,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
2,191c8ab738f67c70506375676fd133a1,Claude Code,Anthropic,DeepSeek V4 Pro (Preview),DeepSeek,Claude Code · DeepSeek V4 Pro (Preview),high,high,70,DeepSeek V4 Pro (high),Claude Code - DeepSeek V4 Pro (high),deepseek,deepseek_deepseek-v4-pro-1m,,Coding Agent Index v1.3,3,3,complete,31.440020420893976,31.440020420893976,0.0,8.55457227138643,65.8730158730159,19.8924731182796,0.27193461309864964,1072.4858556593977,127.21495327102804,5143082.236760125,0.0,4638909.541017653,0.832800535702754,41153.3831775701,9823145.160955349,9.823145160955349,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
3,62664948892cc9fc91e5efbd2eef6587,Claude Code,Anthropic,Opus 5,Anthropic,Claude Code · Opus 5,xhigh,xhigh,90,Opus 5 (xhigh),Claude Code - Opus 5 (xhigh),anthropic,anthropic_claude-horchata-eap,,Coding Agent Index v1.3,3,3,complete,66.74377366641141,66.74377366641139,2.220446049250313e-14,60.47197640117991,84.9206349206349,54.838709677419395,8.234594254641607,1418.8133717549329,153.00882658359293,10876804.360332295,166067.60539979232,10707864.020768434,0.9745294261350289,72793.83800623054,21823529.824506782,21.82352982450678,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
4,3dc51da6d8a643b1053c74af93b012b8,Claude Code,Anthropic,Fable 5 (with fallback),Anthropic,Claude Code · Fable 5 (with fallback),max,max,100,Fable 5 (max) (with fallback),Claude Code - Fable 5 (max) (with fallback),anthropic,anthropic_claude-fable-5,,Coding Agent Index v1.3,3,3,complete,65.8470366292233,65.8470366292233,0.0,66.07669616519169,82.5396825396825,48.924731182795696,11.710527040238842,1403.4044693665628,137.83333333333334,6958611.705088265,151296.60851505713,6798599.523364489,0.9624782363556931,73566.5202492212,13982074.357217016,13.982074357217016,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
5,f588e30be09e15d29f17336fc27d80de,Cursor CLI,Cursor,Composer 2.5,Cursor,Cursor CLI · Composer 2.5,fast,fast,10,Composer 2.5 Fast,Cursor CLI - Composer 2.5 Fast,cursor,cursor_composer-2-5-fast,f14654632db8da036e7b895826b153be,Coding Agent Index v1.3,3,3,complete,38.19077223302173,38.19077223302173,5.551115123125783e-15,15.929203539823,67.46031746031746,31.18279569892475,0.5493899408099688,406.07837279335405,116.6246105919003,2148692.0114226374,0.0,2074060.527418084,0.9358102686586509,19637.94392523365,4238246.973001041,4.238246973001042,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
6,a96f1513a8b251ea2cdcfaba32e9f98b,Gemini CLI,Google,Gemini 3.1 Pro,Google,Gemini CLI · Gemini 3.1 Pro,high,high,70,Gemini 3.1 Pro (high),Gemini CLI - Gemini 3.1 Pro (high),gemini,google_gemini-3-1-pro_ai-studio,,Coding Agent Index v1.3,3,3,complete,30.33847027566694,30.338470275666936,5.551115123125783e-15,14.159292035398199,68.2539682539682,8.60215053763441,1.996407103219105,649.431679127727,30.736061186995766,2448999.0732087228,,2236946.678608515,0.8703212190645248,18426.28504672897,4704372.036863967,4.704372036863967,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
7,27ee60d5f3819ed24fe64a9c6d5529c5,Grok Build,xAI,Grok 4.5,xAI,Grok Build · Grok 4.5,high,high,70,Grok 4.5 (high),Grok Build - Grok 4.5 (high),xai,xai_grok-4-5,,Coding Agent Index v1.3,3,3,complete,64.43924859568592,64.43924859568594,1.1102230246251565e-14,59.88200589970501,85.3174603174603,48.1182795698925,2.594053333333331,991.6222637590873,60.9055036344756,1820320.3219106954,,1717419.3312564918,0.9253060997439475,39965.93561786085,3577705.588785044,3.5777055887850437,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
8,0280f5ae3ebf36c3d322dedc04f12c7d,Kimi Code CLI,Moonshot AI,Kimi K3,Moonshot AI,Kimi Code CLI · Kimi K3,default,default,20,Kimi K3,Kimi Code CLI - Kimi K3,moonshotai,moonshot_kimi-k3,,Coding Agent Index v1.3,3,3,complete,61.335370891465665,61.335370891465665,0.0,63.716814159292,83.7301587301587,36.5591397849463,3.1751868971339587,1427.7253894081002,124.60903426791278,5400248.10384216,0.0,5130235.698650054,0.950000000000002,88806.42159916926,10619290.22409137,10.619290224091369,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
9,ef32f4245e6f9d0b7d390fbf075bc909,Opencode,SST,Muse Spark 1.1,Meta,Opencode · Muse Spark 1.1,xhigh,xhigh,90,Muse Spark 1.1 (xhigh),Opencode - Muse Spark 1.1 (xhigh),meta,meta_super-nova,,Coding Agent Index v1.3,3,3,complete,53.54216416163317,53.54216416163317,0.0,54.2772861356932,73.015873015873,33.3333333333333,1.428240683805814,755.2098182762193,55.43094496365525,6261271.195223261,0.0,5948207.635462111,0.950000000000002,34042.3738317757,12243521.204517122,12.243521204517123,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
10,23a4b1945147ca7027b1207f6664e9f8,Claude Code,Anthropic,GLM-5.2 (FP8),Z.ai,Claude Code · GLM-5.2 (FP8),default,default,20,GLM-5.2,Claude Code - GLM-5.2,novita,novita_glm-5-2_fp8,,Coding Agent Index v1.3,3,3,complete,43.17779252895107,43.177792528951066,5.551115123125783e-15,28.613569321533898,71.88755020080319,29.032258064516096,6.5111001416041745,1505.0868187500016,126.75097179878048,5424051.002083333,0.0,1052877.186458332,0.3409085529196371,40309.84270833334,6517238.031249985,6.517238031249985,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
